 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
0	0	0	0	1003688721
0	0	0	0	1003687256
0	0	0	0	1003703857
0	0	0	0	1003693604
0	0	0	0	1003706787
0	0	0	0	1003703857
0	0	0	0	1003694336
0	0	0	0	1003707031
0	0	0	0	1003698486
0	0	0	0	1003694336
0	0	0	0	1003710205
0	0	0	0	1003702637
0	0	0	0	1003698486
0	0	0	0	1003704590
6	105307251	37.94448676	-87.40502851	1003682373
6	106184814	37.9444858	-87.40502778	1003683838
6	106094727	37.9444861	-87.40502972	1003659180
6	106122009	37.94448696	-87.40503078	1003647217
5	106853821	37.9444759	-87.40501886	1003664063
5	107333618	37.94447202	-87.40501728	1003660645
5	107659729	37.94447053	-87.40501763	1003671631
11	107659424	37.94447062	-87.40501789	1003675781
11	107864075	37.94446979	-87.40501814	1003670898
12	107976257	37.94446953	-87.40501855	1003679199
13	108156555	37.94446905	-87.4050181	1003681885
14	108332520	37.94446883	-87.40501785	1003684814
14	108412537	37.94446872	-87.40501785	1003689941
14	108505554	37.94446861	-87.40501792	1003695068
0	0	0	0	1004288330
9	96396973	37.94438004	-87.40493712	1004302734
10	95457764	37.94438634	-87.40498259	1004302002
9	104014038	37.94440933	-87.40500177	1004290039
9	109619019	37.94441242	-87.40502098	1004306885
8	111140503	37.94441376	-87.40503161	1004278076
5	111114014	37.94441311	-87.40503251	1004284180
6	111058716	37.94441266	-87.40503282	1004266357
8	111151672	37.94441311	-87.40503342	1004270508
5	111247070	37.94441343	-87.4050338	1004266357
6	111381897	37.94441446	-87.40503451	1004280762
5	111368164	37.94441444	-87.40503455	1004278320
6	111421265	37.94441466	-87.40503464	1004279541
8	111445862	37.94441485	-87.40503451	1004308594
8	111505554	37.94441527	-87.40503467	1004276611
11	111326782	37.9444149	-87.4050336	1004287109
11	111761719	37.94441667	-87.4050358	1004293457
11	111928955	37.94441742	-87.40503684	1004274902
12	111488403	37.94441588	-87.40503424	1004281006
12	111566956	37.9444162	-87.40503428	1004283203
10	111688354	37.94441669	-87.40503448	1004279297
13	111694458	37.94441672	-87.40503445	1004274414
12	111718018	37.94441687	-87.40503441	1004285400
13	111843811	37.94441734	-87.40503453	1004269531
14	111981995	37.94441779	-87.40503467	1004273682
14	112073242	37.94441816	-87.40503474	1004253418
14	112106262	37.94441838	-87.40503472	1004264404
14	112180298	37.94441864	-87.40503482	1004251465
14	112258972	37.94441896	-87.40503489	1004264893
14	112294495	37.94441919	-87.40503489	1004263672
13	112335754	37.94441942	-87.4050349	1004264160
13	112434814	37.94441983	-87.40503497	1004289307
13	112536255	37.94442024	-87.4050351	1004280273
12	112608459	37.94442065	-87.40503509	1004282227
12	112652832	37.94442105	-87.40503476	1004285889
13	112670715	37.94442119	-87.40503464	1004288330
12	112728882	37.94442141	-87.40503473	1004288818
11	112799072	37.94442196	-87.40503453	1004308594
11	112874451	37.94442226	-87.40503451	1004305420
12	113065002	37.94442311	-87.40503473	1004293945
12	113264771	37.94442396	-87.4050349	1004291992
11	113500488	37.94442492	-87.40503513	1004269775
12	113706177	37.94442577	-87.4050353	1004267090
12	113918030	37.94442665	-87.40503552	1004280762
12	114081177	37.94442741	-87.40503558	1004275146
12	114284241	37.94442827	-87.40503568	1004304688
12	114516541	37.94442918	-87.40503597	1004299072
11	114675659	37.94442983	-87.40503613	1004322510
11	114970093	37.94443104	-87.40503647	1004297363
12	115267151	37.94443214	-87.40503685	1004284424
13	115481934	37.94443301	-87.40503707	1004254883
13	115693542	37.94443375	-87.40503744	1004250732
13	115912354	37.94443463	-87.40503767	1004262451
13	116141846	37.94443558	-87.40503785	1004266357
13	116384033	37.94443639	-87.40503833	1004250977
14	116641479	37.94443728	-87.4050388	1004237305
14	116864990	37.94443806	-87.40503922	1004241455
13	117024292	37.94443869	-87.40503935	1004241455
13	117199707	37.94443939	-87.40503956	1004243408
12	117347839	37.94443988	-87.40503979	1004262451
12	117600403	37.94444068	-87.40504047	1004255371
12	117785217	37.94444125	-87.40504089	1004262207
12	117958069	37.94444179	-87.40504147	1004271973
12	118186401	37.94444254	-87.40504194	1004255615
11	118372864	37.9444431	-87.40504244	1004254150
11	118544556	37.94444365	-87.4050429	1004235352
11	118669800	37.94444403	-87.40504322	1004224121
11	118818481	37.94444451	-87.40504354	1004213379
11	119003723	37.944445	-87.40504396	1004218750
11	119229553	37.94444565	-87.40504458	1004224121
11	119447021	37.94444622	-87.40504499	1004215332
11	119627502	37.94444672	-87.40504538	1004209961
11	119766541	37.94444721	-87.40504559	1004200439
11	119941040	37.94444778	-87.40504591	1004205078
11	120045044	37.94444822	-87.40504586	1004206055
11	120197937	37.94444879	-87.40504615	1004197021
11	120330017	37.94444924	-87.40504626	1004171875
11	120443237	37.94444964	-87.40504639	1004179443
12	120603394	37.94445019	-87.40504671	1004185791
12	120768555	37.94445071	-87.40504687	1004152100
12	120917847	37.94445123	-87.405047	1004139404
11	120502625	37.944451	-87.40503782	1004132568
11	120687439	37.94445153	-87.40503818	1004137451
11	120834167	37.94445196	-87.40503844	1004129395
12	120923279	37.94445219	-87.40503861	1004134277
12	121024902	37.94445256	-87.40503869	1004114502
13	121133545	37.94445287	-87.40503885	1004101563
12	121244751	37.94445317	-87.40503905	1004083740
11	121405884	37.94445363	-87.40503929	1004089600
11	121461853	37.94445372	-87.40503948	1004082275
11	121557739	37.94445406	-87.40503958	1004070313
11	121664612	37.94445434	-87.40503974	1004081787
11	121756042	37.94445468	-87.40503989	1004070313
11	121803406	37.94445483	-87.40503999	1004044922
11	121847961	37.94445507	-87.40503993	1004034180
11	121904907	37.9444552	-87.40504002	1004025391
11	121977722	37.9444554	-87.40504013	1004019531
11	122060913	37.9444556	-87.40504025	1004018066
11	122124084	37.94445583	-87.40504017	1004002441
12	122208252	37.9444561	-87.40504024	1003989258
12	122293579	37.94445628	-87.40504057	1003983643
11	122366211	37.94445637	-87.40504076	1003970703
11	122394592	37.94445647	-87.40504074	1003969482
11	122409973	37.94445656	-87.40504066	1003962402
11	122431274	37.94445669	-87.40504077	1003937256
11	122488403	37.94445682	-87.40504083	1003925781
11	122528259	37.94445694	-87.40504091	1003930664
11	122472656	37.9444568	-87.40504072	1003934326
11	122458618	37.94445682	-87.40504057	1003927246
11	122409607	37.94445671	-87.4050405	1003915527
11	122392883	37.9444567	-87.40504034	1003923828
