"Timestamp","Name of Snack you would find in a vending machine","Sam's Club URL for Snack","Is this a drink or a snack?","How much would you pay for this at a vending machine?"
"2020/09/24 12:13:19 PM EST","Snickers Bar","https://www.samsclub.com/p/snickers-bars-48ct/prod8150240?xid=plp_product_1_1","F",".75"
"2020/09/24 12:13:26 PM EST","Goldfish","https://www.samsclub.com/p/pepperidge-farm-goldfish-cheddar-crackers-36ct/prod23390969","F",".50"
"2020/09/24 12:13:58 PM EST","Mountain Dew","https://www.samsclub.com/p/mountain-dew-24-oz-bottles-24-pk/167836","D","1.00"
"2020/09/24 12:14:04 PM EST","3 Musketeers Candy Bar","https://www.samsclub.com/p/3-musketeers-36-ct/prod8150219?xid=plp_product_1_1","F",".75"
"2020/09/24 12:14:56 PM EST","Doritos","https://www.samsclub.com/p/doritos-nacho-50ct/prod14220235?xid=plp_product_15","F","1.00"
"2020/09/24 12:15:23 PM EST","Chips","https://www.samsclub.com/p/frito-lay-flavor-mix-variety-pack-50-1-oz/124013?xid=cat1444-groc_carousel_criteo_3","F",".50"
"2020/09/24 12:15:25 PM EST","Ding Dong","https://www.samsclub.com/p/hostess-ding-dongs-24-pk/131925","F",".50"
"2020/09/24 12:15:31 PM EST","Frito-Lay Classic Mix Variety Pack (50 pk.)","https://www.samsclub.com/p/classic-variety-pk-50ct/prod14220234?xid=plp_product_2","F",".50"
"2020/09/24 12:15:35 PM EST","Mtn Dew Baja Blast","https://www.samsclub.com/p/mountain-dew-baja-blast-12oz-24pk/prod23210834","D",".75"
"2020/09/24 12:15:39 PM EST","Nabisco Sweet Treats Cookie Variety Pack (60 pk.)","https://www.samsclub.com/p/nabisco-2ct-vty-pk-60-ct/prod20201063?xid=plp_product_22","F","1.00"
"2020/09/24 12:15:43 PM EST","Ritz Crackers","https://www.samsclub.com/p/kraft-crackers-n-cheez-30-95-oz-packs/105178","F","1.00"
"2020/09/24 12:15:48 PM EST","Mountain Dew 24 oz.","https://www.samsclub.com/p/mountain-dew-24-oz-bottles-24-pk/167836?xid=plp_product_1_2","D",".75"
"2020/09/24 12:15:51 PM EST","Pudding","https://www.samsclub.com/p/hunt-s-snack-pack-pudding-variety-36-3-5-oz/120552?xid=cat1444-groc_carousel_criteo_4","","1.00"
"2020/09/24 12:16:06 PM EST","Cheetos Crunchy (1 oz., 50 ct.)","https://www.samsclub.com/p/cheetos-crunchy-50ct/prod14220233?xid=plp_product_8","","1.00"
"2020/09/24 12:16:07 PM EST","Takis","https://www.samsclub.com/p/takis-fuego-46-ct/prod19900687?xid=plp_product_23","S","1.00"
"2020/09/24 12:16:28 PM EST","m&ms","https://www.samsclub.com/p/m-m-s-peanut-48-1-74-oz-bags/157752?xid=cat1444-groc_carousel_criteo_17","S","1.00"
"2020/09/24 12:16:40 PM EST","Twizzlers","https://www.samsclub.com/p/twizzlers-strawberry-twists-180-pcs/157982?xid=plp_product_1","",".25"
"2020/09/24 12:17:00 PM EST","Doritos Nacho Cheese (1 oz., 50 pk.)","https://www.samsclub.com/p/doritos-nacho-50ct/prod14220235?xid=pdp_carousel_rich-relevance.rr0_5","S","1.00"
"2020/09/24 12:17:02 PM EST","Gatoraide","https://www.samsclub.com/p/gatorade-variety-pack-12-24oz-bottles/131777?xid=_headerGrid_6_3","D",".75"
"2020/09/24 12:17:17 PM EST","Gatorade","https://www.samsclub.com/p/gatorade-cool-blue-20-oz-bottles-24-pk/prod1190338?xid=plp_product_7","S","1.00"
"2020/09/24 12:17:29 PM EST","Lay's Classic Potato Chips (1 oz., 50 pk.)","https://www.samsclub.com/p/lay-regular-50ct/prod14220237?xid=pdp_carousel_rich-relevance.rr0_7","S","1.00"
"2020/09/24 12:17:36 PM EST","Coca-Cola 16.9 oz","https://www.samsclub.com/p/coca-cola-16-9-oz-bottles-24-pk/168645?xid=plp_product_1_2","D",".75"
"2020/09/24 12:18:12 PM EST","Almond Joy","https://www.samsclub.com/p/peter-paul-almond-joy-36-bars/159940?xid=plp_product_1","",".25"
"2020/09/24 12:18:21 PM EST","Twizzlers Nibs Cherry Candy (2.25 oz., 36 ct.)","https://www.samsclub.com/p/twizzlers-nibs-cherry-bits-36-2-25-oz/157051?xid=plp_product_5","",".75"
"2020/09/24 12:18:34 PM EST","Haribo Gold Bears","https://www.samsclub.com/p/haribo-gold-bear-5oz-caddy-12-ct/prod21002330?xid=plp_product_1_3","S","1.00"
"2020/09/24 12:18:41 PM EST","Motts Fruit Snacks","https://www.samsclub.com/p/motts-90-ct-90-ct/prod20292242?xid=plp_product_2","S",".50"
"2020/09/24 12:19:00 PM EST","Mountain Dew","https://www.samsclub.com/p/mountain-dew-36-12-oz-cans/168408?xid=plp_product_2","D",".50"
"2020/09/24 12:19:18 PM EST","Lay's Barbecue Potato Chips (1 oz., 50 pk.)","https://www.samsclub.com/p/lay-s-kc-masterpiece-barbq-50-1-oz-bags/160932?xid=pdp_carousel_rich-relevance.rr0_7","S","1.00"
"2020/09/24 12:19:35 PM EST","Twinkies","https://www.samsclub.com/p/hostess-variety-pack-dng-dngs-twnke-32-ct/prod21930040?xid=plp_product_1","","1.00"
"2020/09/24 12:19:52 PM EST","Ruffles Original Potato Chips (1 oz., 50 pk.)","https://www.samsclub.com/p/ruffles-original-50-count/prod19130040?xid=pdp_carousel_rich-relevance.rr0_8","S","1.00"
"2020/09/24 12:19:53 PM EST","Monster Energy Mega Can Original (24oz / 12pk)","https://www.samsclub.com/p/mega-monster-energy-12-24oz/190986?xid=plp_product_3","D","1.00"
"2020/09/24 12:19:58 PM EST","5-hour ENERGY Shot, Extra Strength, Berry (1.93 oz., 24 pk.)","https://www.samsclub.com/p/5-hour-energy-berry-extra-shots-24-pack/198675?xid=plp_product_2","D","1.00"
"2020/09/24 12:20:09 PM EST","sun chips mixed varity","https://www.samsclub.com/p/sunchips-variety-pk-30ct/prod14220240?xid=plp_product_1","S",".50"
"2020/09/24 12:20:38 PM EST","Sunchips Garden Salsa","https://www.samsclub.com/p/sunchips-garden-salsa-flavored-whole-grain-snacks13-oz/prod24373503?xid=plp_product_13","S","1.00"
"2020/09/24 12:20:48 PM EST","CANDY","https://www.samsclub.com/p/skittles-starburst-fruity-candy-variety-box-single-packs-23ct/prod23550519?xid=plp_product_5","S","1.00"
"2020/09/24 12:21:24 PM EST","MORE CANDY DIFFERENT","https://www.samsclub.com/p/hershey-s-full-size-variety-pack-30-ct/182959?xid=plp_product_18","S","1.00"
"2020/09/24 12:21:26 PM EST","Famous Amos Chocolate Chip Cookies","https://www.samsclub.com/p/famous-amos-42ct-42-ct/prod18983410?xid=plp_product_1_2","S",".50"
"2020/09/24 12:21:29 PM EST","potato skins","https://www.samsclub.com/p/t-g-i-friday-s-cheddar-bacon-potato-skins-snack-chips-50-1-oz/161944?xid=plp_product_35","S",".75"
"2020/09/24 12:21:29 PM EST","Sugar Donuts","https://www.samsclub.com/p/duchess-mini-sugar-donuts-12-3-oz/161770?xid=plp_product_2","S",".50"
"2020/09/24 12:21:39 PM EST","IZZIE Sparkling Juice","https://www.samsclub.com/p/izze-sparkling-juice-variety-12oz-12pk-glass/193433","D","1.00"
"2020/09/24 12:21:40 PM EST","Monster Energy Java","https://www.samsclub.com/p/monster-java-variety-12pk-15-5oz-can/prod9110146?xid=plp_product_8","D","1.00"
"2020/09/24 12:22:24 PM EST","BABY BOTTLE POP","https://www.samsclub.com/p/baby-bottle-pop-assortment-20-85-oz/178235?xid=plp_product_46","S","1.00"
"2020/09/24 12:22:28 PM EST","Lay's  Classic Potato Chips","https://www.samsclub.com/p/lay-regular-50ct/prod14220237?xid=plp_product_1_1","S",".25"
"2020/09/24 12:22:38 PM EST","Monster Energy Original","https://www.samsclub.com/p/monster-energy-drink-24-16-oz/155316?xid=plp_product_1","D","1.00"
"2020/09/24 12:22:43 PM EST","PUSH POP","https://www.samsclub.com/p/push-pop-assorted-flavors-24-ct/156070?xid=plp_product_47","S","1.00"
"2020/09/24 12:22:51 PM EST","Doritos Nacho Cheese","https://www.samsclub.com/p/doritos-nacho-50ct/prod14220235?xid=plp_product_1_8","S",".25"
